Id|Codigo|Habilitado
340|13161-1|1
341|13358-4|1
342|13648-3|1
343|14941-1|1
344|17584-4|1
345|17950-1|1
346|18635-3|1
347|18989-3|1
348|19491-2|1
349|1980928-1|1
350|1981050-10|1
351|1981050-9|1
352|1981213-2|1
353|1981325-2|1
354|14958-3|1
355|14960-3|1
356|14961-4|1
357|15100-1|1
358|15679-3|1
359|19512-4|1
360|19605-3|1
361|19684-1|1
362|19721-4|1
363|15996-1|1
364|16478-12|1
365|16777-1|1
366|16909-1|1
367|17024-2|1
368|1981959-20|1
369|1981959-9|1
370|1982255-1|1
371|1982540-3|1
372|19763-3|1
373|1980002-6|1
374|1980013-3|1
375|1980039-3|1
376|17137-12|1
377|17141-5|1
378|17145-1|1
379|17145-4|1
380|17351-3|1
381|1982869-2|1
382|1982973-3|1
383|1982984-1|1
384|1983068-2|1
385|1983163-2|1
386|1980078-1|1
387|1980094-1|1
388|1980142-1|1
389|1980143-3|1
390|1980389-6|1
391|17754-1|1
392|17973-3|1
393|18635-1|1
394|18933-3|1
395|1983229-1|1
396|1983282-2|1
397|1983587-2|1
398|1983873-1|1
399|1983915-4|1
400|1980347-5|1
401|1980389-1|1
402|1980395-2|1
403|1980471-6|1
404|1980528-4|1
405|18989-4|1
406|19388-2|1
407|19512-3|1
408|19605-1|1
409|1980002-2|1
410|1980519-1|1
411|1980545-13|1
412|1980545-9|1
413|1980608-1|1
414|1983915-6|1
415|1984420-1|1
416|1984744-3|1
417|1984797-6|1
418|1984797-7|1
419|1980545-16|1
420|1980545-31|1
421|1980545-37|1
422|1980545-40|1
423|1980015-2|1
424|1980018-4|1
425|1980019-2|1
426|1980020-4|1
427|1985058-2|1
428|1985152-2|1
429|19900013-1|1
430|19900013-19|1
431|1980572-1|1
432|1980589-11|1
433|1980590-3|1
434|1980596-4|1
435|1980599-1|1
436|1980020-6|1
437|1980037-2|1
438|1980110-10|1
439|1980193-1|1
440|1980700-3|1
441|1981012-1|1
442|1981018-6|1
443|1981050-5|1
444|1981505-9|1
445|10815-6|1
446|11415-7|1
447|11417-5|1
448|128510-1|1
449|12972-3|1
450|19900013-6|1
451|19900023-4|1
452|19900023-5|1
453|19900063-2|1
454|19900147-4|1
455|1980211-5|1
456|1980381-2|1
457|1980389-18|1
458|1980397-5|1
459|13420-2|1
460|13649-1|1
461|14270-5|1
462|16478-3|1
463|1980618-2|1
464|1980643-1|1
465|1980701-1|1
466|1980723-1|1
467|1980724-2|1
468|19900223-2|1
469|19900226-6|1
470|19900270-7|1
471|19900428-3|1
472|1982255-7|1
473|1982847-1|1
474|1982984-2|1
475|1982992-1|1
476|1980471-1|1
477|1980500-1|1
478|1980545-23|1
479|1980545-24|1
480|1980778-1|1
481|1980790-1|1
482|1980800-1|1
483|1980826-4|1
484|1980827-3|1
485|17023-4|1
486|17141-11|1
487|17369-1|1
488|17584-6|1
489|17586-4|1
490|1983128-1|1
491|1983172-1|1
492|1983607-12|1
493|1983756-4|1
494|1980545-55|1
495|1980572-4|1
496|1980578-6|1
497|1980589-13|1
498|1980590-1|1
499|1980885-1|1
500|1980925-3|1
501|1981050-3|1
502|1981050-6|1
503|1981325-1|1
504|17775-2|1
505|18933-11|1
506|19391-2|1
507|19513-1|1
