Id|Codigo|AplicaASexo|EdadMinima|EdadMaxima|Sexo
2756|L670|3|0|999|A
2757|L671|3|0|999|A
2758|L678|3|0|999|A
2759|L679|3|0|999|A
2760|V506|3|0|999|A
2761|V507|3|0|999|A
2762|V509|3|0|999|A
2763|V510|3|15|95|A
2764|V511|3|0|999|A
2765|V512|3|0|999|A
2766|V513|3|0|999|A
2767|E345|3|0|999|A
2768|E348|3|0|999|A
2769|E349|3|0|999|A
2770|E350|3|0|999|A
2771|E351|3|0|999|A
2772|L680|3|0|999|A
2773|L681|3|0|999|A
2774|L682|3|0|999|A
2775|L683|3|0|999|A
2776|L688|3|0|999|A
2777|L689|3|0|999|A
2778|V514|3|0|999|A
2779|V515|3|15|95|A
2780|V516|3|0|999|A
2781|V517|3|0|999|A
2782|E358|3|0|999|A
2783|E40X|3|0|999|A
2784|E41X|3|0|999|A
2785|E42X|3|0|999|A
2786|E43X|3|0|999|A
2787|V519|3|0|999|A
2788|V520|3|15|95|A
2789|V521|3|0|999|A
2790|L700|3|0|999|A
2791|L701|3|0|999|A
2792|L702|3|0|999|A
2793|L703|3|0|999|A
2794|L704|3|5|9|A
2795|L705|2|10|17|F
2796|V522|3|0|999|A
2797|V523|3|0|999|A
2798|V524|3|0|999|A
2799|E440|3|0|999|A
2800|E441|3|0|999|A
2801|E45X|3|0|999|A
2802|E46X|3|0|999|A
2803|E500|3|0|999|A
2804|L708|3|0|999|A
2805|L709|3|0|999|A
2806|L710|3|0|999|A
2807|L711|3|0|999|A
2808|L718|3|0|999|A
2809|L719|3|0|999|A
2810|V525|3|15|95|A
2811|V526|3|0|999|A
2812|V527|3|0|999|A
2813|E501|3|0|999|A
2814|E502|3|0|999|A
2815|E503|3|0|999|A
2816|E504|3|0|999|A
2817|E505|3|0|999|A
2818|V529|3|0|999|A
2819|V530|3|15|95|A
2820|V531|3|0|999|A
2821|L720|3|0|999|A
2822|L721|3|0|999|A
2823|L722|3|0|999|A
2824|L728|3|0|999|A
2825|L729|3|0|999|A
2826|V532|3|0|999|A
2827|V533|3|0|999|A
2828|V534|3|0|999|A
2829|E506|3|0|999|A
2830|E507|3|0|999|A
2831|E508|3|0|999|A
2832|E509|3|0|999|A
2833|E511|3|0|999|A
2834|L730|3|0|999|A
2835|L731|3|0|999|A
2836|L732|3|0|999|A
2837|L738|3|0|999|A
2838|L739|3|0|999|A
2839|V535|3|15|95|A
2840|V536|3|0|999|A
2841|V537|3|0|999|A
2842|V539|3|0|999|A
2843|V540|3|15|95|A
2844|V541|3|0|999|A
2845|E512|3|0|999|A
2846|E518|3|0|999|A
2847|E519|3|0|999|A
2848|E52X|3|0|999|A
2849|E530|3|0|999|A
2850|L740|3|0|999|A
2851|L741|3|0|999|A
2852|L742|3|0|999|A
2853|L743|3|0|999|A
2854|L744|3|0|999|A
2855|V542|3|0|999|A
2856|V543|3|0|999|A
2857|V544|3|0|999|A
2858|V545|3|15|95|A
2859|V546|3|0|999|A
2860|V547|3|0|999|A
2861|E531|3|0|999|A
2862|E538|3|0|999|A
2863|E539|3|0|999|A
2864|E54X|3|0|999|A
2865|E550|3|0|999|A
2866|V549|3|0|999|A
2867|V550|3|15|95|A
2868|V551|3|0|999|A
2869|L748|3|0|999|A
2870|L749|3|0|999|A
2871|L750|3|0|999|A
2872|L751|3|0|999|A
2873|L752|3|0|999|A
2874|E559|3|0|999|A
2875|E560|3|0|999|A
2876|E561|3|0|120|A
2877|E568|3|0|999|A
2878|E569|3|0|999|A
2879|V552|3|0|999|A
2880|V553|3|0|999|A
2881|V554|3|0|999|A
2882|L758|3|0|999|A
2883|L759|3|0|999|A
2884|L80X|3|0|999|A
2885|L810|3|0|999|A
2886|L811|3|0|999|A
2887|V555|3|15|95|A
2888|V556|3|0|999|A
2889|V557|3|0|999|A
2890|E58X|3|0|999|A
2891|E59X|3|0|999|A
2892|E60X|3|0|999|A
2893|E610|3|0|999|A
2894|E611|3|0|999|A
2895|V559|3|0|999|A
2896|V560|3|15|95|A
2897|V561|3|0|999|A
2898|L812|3|0|999|A
2899|L813|3|0|999|A
2900|L814|3|0|999|A
2901|L815|3|0|999|A
2902|L816|3|0|999|A
2903|V562|3|0|999|A
2904|V563|3|0|999|A
2905|V564|3|0|999|A
2906|E612|3|0|999|A
2907|E613|3|0|999|A
2908|E614|3|0|999|A
2909|E615|3|0|999|A
2910|E616|3|0|999|A
2911|L817|3|0|999|A
2912|L818|3|0|999|A
2913|L819|3|0|999|A
2914|L82X|3|0|999|A
2915|L83X|3|0|999|A
2916|V565|3|15|95|A
2917|V566|3|0|999|A
2918|V567|3|0|999|A
2919|E617|3|0|999|A
2920|E618|3|0|999|A
2921|E619|3|0|999|A
2922|E630|3|0|120|A
2923|E631|3|0|120|A
2924|V569|3|0|999|A
2925|V570|3|15|95|A
2926|V571|3|0|999|A
2927|L84X|3|0|999|A
2928|L850|3|0|999|A
2929|L851|3|0|999|A
2930|L852|3|0|999|A
2931|L853|3|0|999|A
2932|E638|3|0|120|A
2933|E639|3|0|120|A
2934|E640|3|0|999|A
2935|E641|3|0|999|A
2936|E642|3|0|999|A
2937|V572|3|0|999|A
2938|V573|3|0|999|A
2939|V574|3|0|999|A
2940|V575|3|15|95|A
2941|V576|3|0|999|A
2942|V577|3|0|999|A
2943|L858|3|0|999|A
2944|L859|3|0|999|A
2945|L86X|3|0|999|A
2946|L870|3|0|999|A
2947|L871|3|0|999|A
2948|E643|3|1|120|A
2949|E648|3|0|999|A
2950|E649|3|0|999|A
2951|E65X|3|0|999|A
2952|E660|3|0|999|A
2953|V579|3|0|999|A
2954|V580|3|15|95|A
2955|V581|3|0|999|A
2956|L872|3|0|999|A
2957|L878|3|0|999|A
2958|L879|3|0|999|A
2959|L88X|3|0|999|A
2960|L890|3|0|999|A
2961|V582|3|0|999|A
2962|V583|3|0|999|A
2963|V584|3|0|999|A
2964|E661|3|0|999|A
2965|E662|3|0|999|A
2966|E668|3|0|999|A
2967|E669|3|0|999|A
2968|E670|3|0|999|A
2969|E671|3|0|999|A
2970|L891|3|0|999|A
2971|L892|3|0|999|A
2972|L893|3|0|999|A
2973|L899|3|0|999|A
2974|L89X|3|0|999|A
2975|V585|3|15|95|A
2976|V586|3|0|999|A
2977|V587|3|0|999|A
2978|V589|3|0|999|A
2979|E672|3|0|999|A
2980|E673|3|0|999|A
2981|E678|3|0|999|A
2982|E68X|3|0|999|A
2983|E700|3|0|999|A
2984|V590|3|15|95|A
2985|V591|3|0|999|A
2986|V592|3|0|999|A
2987|L900|3|0|999|A
2988|L901|3|0|999|A
2989|L902|3|0|999|A
2990|L903|3|0|999|A
2991|L904|3|0|999|A
2992|V593|3|0|999|A
2993|V594|3|15|95|A
2994|V595|3|0|999|A
2995|E701|3|0|999|A
2996|E702|3|0|999|A
2997|E703|3|0|999|A
