Id|Finalidad|CUPS
530|42|I11011
531|42|I11012
532|42|I11101
533|42|I11102
534|42|I11103
535|42|I11104
536|42|I11105
537|42|I11106
538|42|I11107
539|42|I11108
540|42|I11109
541|42|I11110
542|42|I11201
543|42|I11202
544|42|I11203
545|42|I11204
546|42|I11205
547|42|I11206
548|42|I11207
549|42|I11208
550|42|I11301
551|42|I11302
552|42|I11303
553|42|I11304
554|42|I11305
555|42|I11306
556|42|I11307
557|42|I11308
558|42|I11401
559|42|I11402
560|42|I11403
561|42|I11404
562|42|I11405
563|42|I11406
564|42|I11407
565|42|I11408
566|42|I11409
567|42|I11410
568|42|I11411
569|42|I11412
570|42|I11413
571|42|I11414
572|42|I11501
573|42|I11601
574|42|I11602
575|42|I11603
576|42|I11604
577|42|I20101
578|42|I20102
579|42|I20103
580|42|I20104
581|42|I20105
582|42|I20106
583|42|I20107
584|42|I20108
585|42|I20201
586|42|I20202
587|42|I20203
588|42|I20204
589|42|I20105
590|42|I20106
591|42|I20107
592|42|I20108
593|42|I20201
594|42|I20202
595|42|I20203
596|42|I20104
597|42|I20205
598|42|I20301
599|42|I20302
600|42|I20303
601|42|I20304
602|42|I30001
603|42|I30002
604|42|I30003
605|42|I30004
606|42|I30005
607|42|I30006
608|42|I30101
609|42|I30102
610|42|I30103
611|42|I30104
612|42|I30105
613|42|I30201
614|42|I30202
615|42|I30203
616|42|I30204
617|42|I30205
618|42|I30206
619|42|I30301
620|42|I30302
621|42|I30303
622|42|I30304
623|41|I10003
624|41|I10004
625|41|I10005
626|41|I10006
627|41|I10007
628|41|I10008
629|41|I10309
630|41|I10010
631|41|I10011
632|41|I10101
633|41|I10102
634|41|I10103
635|41|I10104
636|41|I10105
637|41|I10106
638|41|I10107
639|41|I10108
640|41|I10109
641|41|I10110
642|41|I10201
643|41|I10202
644|41|I10203
645|41|I10204
646|41|I10205
647|41|I10206
648|41|I10207
649|41|I10208
650|41|I10209
651|41|I10210
652|41|I10301
653|41|I10302
654|41|I10303
655|41|I10304
656|41|I10305
657|41|I10306
658|41|I10307
659|41|I10308
660|41|I10309
661|41|I10310
662|41|I10311
663|41|I10401
664|41|I10402
665|41|I10403
666|41|I10404
667|41|I10405
668|41|I10406
669|41|I10407
670|41|I10408
671|41|I10409
672|41|I10410
673|41|I10411
674|41|I10412
675|41|I10413
676|41|I10501
677|41|I10601
678|41|I10602
679|41|I10603
680|41|I10604
681|41|I10605
682|41|I10606
683|41|I10607
684|41|I11001
685|41|I11003
686|41|I11004
687|41|I11005
688|41|I11006
689|41|I11007
690|41|I11008
691|41|I11009
692|41|I11010
693|41|I11011
694|41|I11012
695|41|I11101
696|41|I11102
697|41|I11103
698|41|I11104
699|41|I11105
700|41|I11106
701|41|I11107
702|41|I11108
703|41|I11109
704|41|I11110
705|41|I11201
706|41|I11202
707|41|I11203
708|41|I11204
709|41|I11205
710|41|I11206
711|41|I11207
712|41|I11208
713|41|I11301
714|41|I11302
715|41|I11303
716|41|I11304
717|41|I11305
718|41|I11306
719|41|I11307
720|41|I11308
721|41|I11401
722|41|I11402
723|41|I11403
724|41|I11404
725|41|I11405
726|41|I11406
727|41|I11407
728|41|I11408
729|41|I11409
730|41|I11410
731|41|I11411
732|41|I11412
733|41|I11413
734|41|I11414
735|41|I11501
736|41|I11601
737|41|I11602
738|41|I11603
739|41|I11604
740|41|I20101
741|41|I20102
742|41|I20103
743|41|I20104
744|41|I20105
745|41|I20106
746|41|I20107
747|41|I20108
748|41|I20201
749|41|I20202
750|41|I20203
751|41|I20204
752|41|I20105
753|41|I20106
754|41|I20107
755|41|I20108
756|41|I20201
757|41|I20202
758|41|I20203
759|41|I20104
760|41|I20205
761|41|I20301
762|41|I20302
763|41|I20303
764|41|I20304
765|41|I30001
766|41|I30002
767|41|I30003
768|41|I30004
769|41|I30005
770|41|I30006
771|41|I30101
772|41|I30102
773|41|I30103
774|41|I30104
775|41|I30105
776|41|I30201
777|41|I30202
778|41|I30203
779|41|I30204
780|41|I30205
781|41|I30206
782|41|I30301
783|41|I30302
784|41|I30303
785|41|I30304
786|40|890205
787|40|890283
788|40|890263
789|40|890206
790|40|890203
791|40|890208
792|40|890207
793|40|890301
794|40|890305
795|40|890383
796|40|890363
797|40|890306
798|40|890303
799|40|890308
800|40|890250
801|40|890350
802|40|890209
803|40|890309
804|40|902211
805|40|902213
806|40|902207
807|40|906039
808|40|906249
809|40|906223
810|40|904508
811|40|903841
812|40|903868
813|40|903815
814|40|903816
815|40|903817
816|40|903818
817|40|903895
818|40|907106
819|40|892901
820|40|898001
821|40|702201
822|40|898101
823|40|908436
824|40|892904
825|40|673310
826|40|671201
827|40|671202
828|40|671203
829|40|876802
830|40|851101
831|40|851102
832|40|906611
833|40|601101
834|40|601102
835|40|907009
836|40|452301
837|40|893812
838|40|950601
839|40|997106
840|40|997101
841|40|997102
842|40|997103
843|40|997104
844|40|997106
845|40|997300
846|40|997310
847|40|993102
848|40|993503
849|40|993106
850|40|993512
851|40|993122
852|40|993510
853|40|993130
854|40|993501
855|40|993502
856|40|993504
857|40|993509
858|40|993522
859|40|993513
860|40|993105
861|40|995199
862|40|697100
863|40|861801
864|40|637300
865|40|637100
866|40|890294
867|40|907201
868|40|890394
869|40|907201
870|40|890394
871|40|663100
872|40|662200
873|40|663910
874|40|954601
875|40|954632
876|40|890114
877|40|890101
878|40|890102
879|40|890103
880|40|890105
881|40|890106
882|40|890108
883|40|890109
884|40|990204
885|40|990201
886|40|990202
887|40|990203
888|40|990205
889|40|990206
890|40|990211
891|40|990104
892|40|990101
893|40|990102
894|40|990103
895|40|990105
896|40|990106
897|40|990107
898|40|990201
899|40|990204
900|40|990204
901|40|990206
902|40|990211
903|42|890205
904|42|890250
905|42|890203
906|42|890206
907|42|890208
908|42|890209
909|42|890301
910|42|890305
911|42|890350
912|42|890303
913|42|890306
914|42|890308
915|42|890309
916|42|890283
917|42|990107
918|42|906317
919|42|892901
920|42|898001
921|42|908436
922|42|892904
923|42|673310
924|42|901304
925|42|903841
926|42|911016
927|42|911018
928|42|911020
929|42|902208
930|42|902209
931|42|902211
932|42|902213
933|42|902214
934|42|906127
935|42|906128
936|42|906129
937|42|906130
938|42|906039
939|42|906241
940|42|906242
941|42|906247
942|42|901236
943|42|906249
944|42|881401
945|42|881431
946|42|903887
947|42|901321
948|42|906131
949|42|993105
950|42|993510
951|42|995200
952|42|695101
953|42|750201
954|42|721001
955|42|721002
956|42|725100
957|42|732201
958|42|735300
959|42|735910
960|42|735930
961|42|735931
962|42|735931
963|42|735980
964|42|740100
965|42|740100
966|42|740200
967|42|740300
968|42|663100
969|42|662200
970|42|697100
971|42|861801
972|42|992901
973|42|954601
974|42|954632
975|42|893812
976|42|904903
977|42|911016
978|42|911018
979|42|911020
980|42|903202
981|42|903301
982|42|904402
983|42|906808
984|42|906809
985|42|990104
986|42|990101
987|42|990102
988|42|990103
989|42|990105
990|42|990106
