26041|016102|1|AP|S|Z|PBS
26042|016103|1|AP|S|Z|PBS
26043|016200|1|AP|S|Z|NULL
26044|016201|1|AP|S|Z|PBS
26045|016202|1|AP|S|Z|PBS
26046|016300|1|AP|S|Z|NULL
26047|016301|1|AP|S|Z|PBS
26048|016302|1|AP|S|Z|PBS
26049|016400|1|AP|S|Z|NULL
26050|016401|1|AP|S|Z|PBS
26051|016402|1|AP|S|Z|PBS
26052|017000|1|AP|S|Z|NULL
26053|017001|1|AP|S|Z|PBS
26054|017002|1|AP|S|Z|PBS
26055|017003|1|AP|S|Z|PBS
26056|017004|1|AP|S|Z|PBS
26057|017005|1|AP|S|Z|PBS
26058|017006|1|AP|S|Z|PBS
26059|017200|1|AP|S|Z|NULL
26060|017201|1|AP|S|Z|PBS
26061|017202|1|AP|S|Z|PBS
26062|017203|1|AP|S|Z|PBS
26063|017204|1|AP|S|Z|PBS
26064|017205|1|AP|S|Z|PBS
26065|017206|1|AP|S|Z|PBS
26066|017209|1|AP|S|Z|PBS
26067|017300|1|AP|S|Z|NULL
26068|017301|1|AP|S|Z|PBS
26069|017302|1|AP|S|Z|PBS
26070|017303|1|AP|S|Z|PBS
26071|017400|1|AP|S|Z|NULL
26072|017401|1|AP|S|Z|PBS
26073|017402|1|AP|S|Z|NULL
26074|017403|1|AP|S|Z|PBS
26075|017404|1|AP|S|Z|PBS
26076|017405|1|AP|S|Z|PBS
26077|017406|1|AP|S|Z|PBS
26078|017500|1|AP|S|Z|NULL
26079|017501|1|AP|S|Z|PBS
26080|017502|1|AP|S|Z|PBS
26081|017503|1|AP|S|Z|NULL
26082|017504|1|AP|S|Z|PBS
26083|017505|1|AP|S|Z|PBS
26084|017508|1|AP|S|Z|PBS
26085|017509|1|AP|S|Z|PBS
26086|017600|1|AP|S|Z|NULL
26087|017601|1|AP|S|Z|PBS
26088|017602|1|AP|S|Z|NULL
26089|017603|1|AP|S|Z|PBS
26090|017700|1|AP|S|Z|NULL
26091|017701|1|AP|S|Z|PBS
26092|017702|1|AP|S|Z|PBS
26093|017703|1|AP|S|Z|NULL
26094|017800|1|AP|S|Z|NULL
26095|017801|1|AP|S|Z|PBS
26096|017802|1|AP|S|Z|PBS
26097|017803|1|AP|S|Z|PBS
26098|017805|1|AP|S|Z|NULL
26099|017806|1|AP|S|Z|PBS
26100|017807|1|AP|S|Z|PBS
26101|018100|1|AP|S|Z|NULL
26102|018101|1|AP|S|Z|NULL
26103|018102|1|AP|S|Z|NULL
26104|018103|1|AP|S|Z|PBS
26105|018104|1|AP|S|Z|PBS
26106|018105|1|AP|S|Z|PBS
26107|018106|1|AP|S|Z|PBS
26108|018107|1|AP|S|Z|PBS
26109|018200|1|AP|S|Z|NULL
26110|018201|1|AP|S|Z|PBS
26111|018202|1|AP|S|Z|PBS
26112|019100|1|AP|S|Z|NULL
26113|019101|1|AP|S|Z|PBS
26114|019200|1|AP|S|Z|NULL
26115|019201|1|AP|S|Z|PBS
26116|020001|1|AP|S|Z|NULL
26117|020100|1|AP|S|Z|NULL
26118|020101|1|AP|S|Z|NULL
26119|020102|1|AP|S|Z|NULL
26120|020103|1|AP|S|Z|NULL
26121|020104|1|AP|S|Z|NULL
26122|020105|1|AP|S|Z|PBS
26123|020106|1|AP|S|Z|PBS
26124|020107|1|AP|S|Z|PBS
26125|020108|1|AP|S|Z|PBS
26126|020109|1|AP|S|Z|PBS
26127|020110|1|AP|S|Z|PBS
26128|020111|1|AP|S|Z|PBS
26129|020112|1|AP|S|Z|PBS
26130|020113|1|AP|S|Z|PBS
26131|020114|1|AP|S|Z|PBS
26132|020115|1|AP|S|Z|PBS
26133|020116|1|AP|S|Z|PBS
26134|020200|1|AP|S|Z|NULL
26135|020201|1|AP|S|Z|PBS
26136|020202|1|AP|S|Z|PBS
26137|020203|1|AP|S|Z|PBS
26138|020204|1|AP|S|Z|PBS
26139|020205|1|AP|S|Z|PBS
26140|020206|1|AP|S|Z|PBS
26141|020400|1|AP|S|Z|NULL
26142|020401|1|AP|S|Z|PBS
26143|020402|1|AP|S|Z|PBS
26144|020500|1|AP|S|Z|NULL
26145|020501|1|AP|S|Z|PBS
26146|020502|1|AP|S|Z|PBS
26147|020503|1|AP|S|Z|PBS
26148|020600|1|AP|S|Z|NULL
26149|020601|1|AP|S|Z|PBS
26150|020602|1|AP|S|Z|PBS
26151|020700|1|AP|S|Z|NULL
26152|020701|1|AP|S|Z|PBS
26153|021100|1|AP|S|Z|NULL
26154|021101|1|AP|S|Z|PBS
26155|021102|1|AP|S|Z|PBS
26156|021103|1|AP|S|Z|PBS
26157|021104|1|AP|S|Z|PBS
26158|021105|1|AP|S|Z|PBS
26159|021106|1|AP|S|Z|PBS
