Id|DepartamentoId|CodDepto|CodMunicipio|CodUbicacion|NombreMunicipio|EstadoEntidad|LogBaseEntityId
323|18|54|239|54239|DURANIA|1|1
324|1|05|240|05240|EBEJICO|1|1
325|17|52|240|52240|CHACHAG_-|1|1
326|24|76|243|76243|EL AGUILA|1|1
327|13|41|244|41244|ELIAS|1|1
328|4|13|244|13244|EL CARMEN DE BOLIVAR|1|1
329|5|15|244|15244|EL COCUY|1|1
330|11|25|245|25245|EL COLEGIO|1|1
331|12|27|245|27245|EL CARMEN DE ATRATO|1|1
332|21|68|245|68245|EL GUACAMAYO|1|1
333|18|54|245|54245|EL CARMEN|1|1
334|16|50|245|50245|EL CALVARIO|1|1
335|15|47|245|47245|EL BANCO|1|1
336|24|76|246|76246|EL CAIRO|1|1
337|7|18|247|18247|EL DONCELLO|1|1
338|24|76|248|76248|EL CERRITO|1|1
339|5|15|248|15248|EL ESPINO|1|1
340|4|13|248|13248|EL GUAMO|1|1
341|9|20|250|20250|EL PASO|1|1
342|24|76|250|76250|EL DOVIO|1|1
343|26|85|250|85250|PAZ DE ARIPORO|1|1
344|21|68|250|68250|EL PEÐËN|1|1
345|12|27|250|27250|EL LITORAL DEL SAN JUAN|1|1
346|18|54|250|54250|EL TARRA|1|1
347|17|52|250|52250|EL CHARCO|1|1
348|1|05|250|05250|EL BAGRE|1|1
349|16|50|251|50251|EL CASTILLO|1|1
350|17|52|254|52254|EL PEÐOL|1|1
351|21|68|255|68255|EL PLAYON|1|1
352|8|19|256|19256|EL TAMBO|1|1
353|7|18|256|18256|EL PAUJIL|1|1
354|17|52|256|52256|EL ROSARIO|1|1
355|17|52|258|52258|EL TABLON DE GOMEZ|1|1
356|15|47|258|47258|EL PIÐON|1|1
357|11|25|258|25258|EL PENON|1|1
358|11|25|260|25260|EL ROSAL|1|1
359|17|52|260|52260|EL TAMBO|1|1
360|18|54|261|54261|EL ZULIA|1|1
361|29|91|263|91263|EL ENCANTO|1|1
362|26|85|263|85263|PORE|1|1
363|21|68|264|68264|ENCINO|1|1
364|1|05|264|05264|ENTRERRIOS|1|1
365|22|70|265|70265|GUARANDA|1|1
366|1|05|266|05266|ENVIGADO|1|1
367|21|68|266|68266|ENCISO|1|1
368|4|13|268|13268|EL PEÐON|1|1
369|15|47|268|47268|EL RET+N|1|1
370|23|73|268|73268|ESPINAL|1|1
371|11|25|269|25269|FACATATIVA|1|1
372|23|73|270|73270|FALAN|1|1
373|16|50|270|50270|EL DORADO|1|1
374|21|68|271|68271|FLORIAN|1|1
375|19|63|272|63272|FILANDIA|1|1
376|5|15|272|15272|FIRAVITOBA|1|1
377|6|17|272|17272|FILADELFIA|1|1
378|24|76|275|76275|FLORIDA|1|1
379|23|73|275|73275|FLANDES|1|1
380|21|68|276|68276|FLORIDABLANCA|1|1
381|5|15|276|15276|FLORESTA|1|1
382|11|25|279|25279|FOMEQUE|1|1
383|26|85|279|85279|RECETOR|1|1
384|14|44|279|44279|FONSECA|1|1
385|11|25|281|25281|FOSCA|1|1
386|1|05|282|05282|FREDONIA|1|1
387|23|73|283|73283|FRESNO|1|1
388|1|05|284|05284|FRONTINO|1|1
389|11|25|286|25286|FUNZA|1|1
390|17|52|287|52287|FUNES|1|1
391|16|50|287|50287|FUENTE DE ORO|1|1
392|15|47|288|47288|FUNDACION|1|1
393|11|25|288|25288|FUQUENE|1|1
394|11|25|290|25290|FUSAGASUGA|1|1
395|8|19|290|19290|FLORENCIA|1|1
396|11|25|293|25293|GACHALA|1|1
397|5|15|293|15293|GACHANTIVA|1|1
398|11|25|295|25295|GACHANCIPA|1|1
399|9|20|295|20295|GAMARRA|1|1
400|2|08|296|08296|GALAPA|1|1
401|5|15|296|15296|GAMEZA|1|1
402|21|68|296|68296|GALAN|1|1
403|11|25|297|25297|GACHETA|1|1
404|21|68|298|68298|GAMBITA|1|1
405|13|41|298|41298|GARZON|1|1
406|11|25|299|25299|GAMA|1|1
407|5|15|299|15299|GARAGOA|1|1
408|10|23|300|23300|COTORRA|1|1
409|4|13|300|13300|HATILLO DE LOBA|1|1
410|26|85|300|85300|SABANALARGA|1|1
411|25|81|300|81300|FORTUL|1|1
412|19|63|302|63302|GENOVA|1|1
413|13|41|306|41306|GIGANTE|1|1
414|24|76|306|76306|GINEBRA|1|1
415|1|05|306|05306|GIRALDO|1|1
416|21|68|307|68307|GIRON|1|1
417|11|25|307|25307|GIRARDOT|1|1
418|1|05|308|05308|GIRARDOTA|1|1
419|1|05|310|05310|GOMEZ PLATA|1|1
420|9|20|310|20310|GONZALEZ|1|1
421|11|25|312|25312|GRANADA|1|1
422|1|05|313|05313|GRANADA|1|1
423|16|50|313|50313|GRANADA|1|1
424|18|54|313|54313|GRAMALOTE|1|1
425|1|05|315|05315|GUADALUPE|1|1
426|26|85|315|85315|SACAMA|1|1
427|11|25|317|25317|GUACHETA|1|1
428|5|15|317|15317|GUACAMAYAS|1|1
429|17|52|317|52317|GUACHUCAL|1|1
430|1|05|318|05318|GUARNE|1|1
431|16|50|318|50318|GUAMAL|1|1
432|15|47|318|47318|GUAMAL|1|1
433|24|76|318|76318|GUACARI|1|1
434|21|68|318|68318|GUACA|1|1
435|8|19|318|19318|GUAPI|1|1
436|20|66|318|66318|GUATICA|1|1
437|13|41|319|41319|GUADALUPE|1|1
438|23|73|319|73319|GUAMO|1|1
439|17|52|320|52320|GUAITARILLA|1|1
440|11|25|320|25320|GUADUAS|1|1
441|21|68|320|68320|GUADALUPE|1|1
442|27|86|320|86320|ORITO|1|1
443|1|05|321|05321|GUATAPE|1|1
444|11|25|322|25322|GUASCA|1|1
445|21|68|322|68322|GUAPOTA|1|1
446|5|15|322|15322|GUATEQUE|1|1
447|17|52|323|52323|GUALMATAN|1|1
448|11|25|324|25324|GUATAQUI|1|1
449|21|68|324|68324|GUAVATA|1|1
450|26|85|325|85325|SAN LUIS DE PALENQUE|1|1
451|5|15|325|15325|GUAYATA|1|1
452|16|50|325|50325|MAPIRIPAN|1|1
453|11|25|326|25326|GUATAVITA|1|1
454|21|68|327|68327|GUEPSA|1|1
455|11|25|328|25328|GUAYABAL DE SIQUIMA|1|1
456|16|50|330|50330|MESETAS|1|1
457|5|15|332|15332|GUICAN|1|1
458|11|25|335|25335|GUAYABETAL|1|1
459|11|25|339|25339|GUTIERREZ|1|1
460|30|94|343|94343|BARRANCO MINAS|1|1
461|18|54|344|54344|HACARI|1|1
462|21|68|344|68344|HATO|1|1
463|18|54|347|54347|HERRAN|1|1
464|1|05|347|05347|HELICONIA|1|1
465|23|73|347|73347|HERVEO|1|1
466|23|73|349|73349|HONDA|1|1
467|13|41|349|41349|HOBO|1|1
468|10|23|350|23350|LA APARTADA|1|1
469|16|50|350|50350|LA MACARENA|1|1
470|17|52|352|52352|ILES|1|1
471|23|73|352|73352|ICONONZO|1|1
472|1|05|353|05353|HISPANIA|1|1
473|17|52|354|52354|IMUES|1|1
474|8|19|355|19355|INZA|1|1
475|17|52|356|52356|IPIALES|1|1
476|13|41|357|41357|IQUIRA|1|1
477|13|41|359|41359|ISNOS|1|1
478|1|05|360|05360|ITAGUI|1|1
479|1|05|361|05361|ITUANGO|1|1
480|12|27|361|27361|ITSMINA|1|1
481|5|15|362|15362|IZA|1|1
482|8|19|364|19364|JAMBALO|1|1
483|24|76|364|76364|JAMUNDI|1|1
484|1|05|364|05364|JARDIN|1|1
485|5|15|367|15367|JENESANO|1|1
486|5|15|368|15368|JERICO|1|1
487|21|68|368|68368|JESUS MARIA|1|1
488|1|05|368|05368|JERICO|1|1
489|11|25|368|25368|JERUSALEN|1|1
490|16|50|370|50370|LA URIBE|1|1
491|21|68|370|68370|JORDAN|1|1
492|12|27|372|27372|JURADO|1|1
493|2|08|372|08372|JUAN DE ACOSTA|1|1
494|11|25|372|25372|JUNIN|1|1
495|1|05|376|05376|LA CEJA|1|1
496|11|25|377|25377|LA CALERA|1|1
497|18|54|377|54377|LABATECA|1|1
498|5|15|377|15377|LABRANZAGRANDE|1|1
499|21|68|377|68377|LA BELLEZA|1|1
500|24|76|377|76377|LA CUMBRE|1|1
501|13|41|378|41378|LA ARGENTINA|1|1
502|17|52|378|52378|LA CRUZ|1|1
503|14|44|378|44378|HATONUEVO|1|1
504|1|05|380|05380|LA ESTRELLA|1|1
505|5|15|380|15380|LA CAPILLA|1|1
506|6|17|380|17380|LA DORADA|1|1
507|17|52|381|52381|LA FLORIDA|1|1
508|9|20|383|20383|LA GLORIA|1|1
509|20|66|383|66383|LA CELIA|1|1
510|21|68|385|68385|LANDAZURI|1|1
511|17|52|385|52385|LA LLANADA|1|1
512|18|54|385|54385|LA ESPERANZA|1|1
513|11|25|386|25386|LA MESA|1|1
514|6|17|388|17388|LA MERCED|1|1
515|17|52|390|52390|LA TOLA|1|1
516|1|05|390|05390|LA PINTADA|1|1
517|8|19|392|19392|LA SIERRA|1|1
518|11|25|394|25394|LA PALMA|1|1
519|13|41|396|41396|LA PLATA|1|1
520|8|19|397|19397|LA VEGA|1|1
521|21|68|397|68397|LA PAZ|1|1
522|11|25|398|25398|LA PEÐA|1|1
523|18|54|398|54398|LA PLAYA|1|1
524|17|52|399|52399|LA UNION|1|1
525|1|05|400|05400|LA UNION|1|1
526|16|50|400|50400|LEJANIAS|1|1
527|22|70|400|70400|LA UNION|1|1
528|24|76|400|76400|LA UNION|1|1
529|26|85|400|85400|TAMARA|1|1
530|20|66|400|66400|LA VIRGINIA|1|1
531|9|20|400|20400|LA JAGUA DE IBIRICO|1|1
532|5|15|401|15401|LA VICTORIA|1|1
533|19|63|401|63401|LA TEBAIDA|1|1
534|11|25|402|25402|LA VEGA|1|1
535|24|76|403|76403|LA VICTORIA|1|1
536|5|15|403|15403|LA UVITA|1|1
537|29|91|405|91405|LA CHORRERA|1|1
538|17|52|405|52405|LEIVA|1|1
539|18|54|405|54405|LOS PATIOS|1|1
540|21|68|406|68406|LEBRIJA|1|1
541|29|91|407|91407|LA PEDRERA|1|1
542|5|15|407|15407|VILLA DE LEYVA|1|1
543|11|25|407|25407|LENGUAZAQUE|1|1
544|23|73|408|73408|LERIDA|1|1
545|7|18|410|18410|LA MONTAÐITA|1|1
546|26|85|410|85410|TAURAMENA|1|1
547|1|05|411|05411|LIBORINA|1|1
548|23|73|411|73411|LIBANO|1|1
549|17|52|411|52411|LINARES|1|1
550|12|27|413|27413|LLORO|1|1
